iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
ARG,South America,Argentina,07/03/2023,10044957,,,130472,0,1.286,220718.205,,,2866.866,0,0.028,,,,,,,,,,,,,,,,,,,114991233,41476547,34854197,35831371,9943,9208,252.67,91.14,76.59,78.73,202,369,0.001,,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5,76.67,0.845,45510324,,,,
BOL,South America,Bolivia,07/03/2023,1193970,62,148.143,22365,0,0,97673.336,5.072,12.119,1829.58,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.202,25.4,6.704,4.393,6885.829,7.1,204.299,6.89,,,25.383,1.1,71.51,0.718,12224114,,,,
BRA,South America,Brazil,05/03/2023,37076053,9262,7931.714,699276,33,49.714,172195.67,43.016,36.838,3247.711,0.153,0.231,,,,,,,,,,,,,,,,,,,485257436,189394389,175895930,,60,35849,225.37,87.96,81.69,,166,11305,0.005,,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9,,2.2,75.88,0.765,215313504,,,,
CHL,South America,Chile,07/03/2023,5182360,2031,2491.143,64247,17,10.429,264355.733,103.603,127.075,3277.283,0.867,0.532,,86,4.387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.282,35.4,11.087,6.938,22767.037,1.3,127.993,8.46,34.2,41.5,,2.11,80.18,0.851,19603736,,,,
COL,South America,Colombia,03/03/2023,6360089,625,89.286,142629,14,2,122606.423,12.048,1.721,2749.526,0.27,0.039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.223,32.2,7.646,4.312,13254.949,4.5,124.24,7.44,4.7,13.5,65.386,1.71,77.29,0.767,51874028,,,,
ECU,South America,Ecuador,07/03/2023,1057121,0,0,36014,0,0,58725.675,0,0,2000.666,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.939,28.1,7.104,4.458,10581.936,3.6,140.448,5.55,2,12.3,80.635,1.5,77.01,0.759,18001002,,,,
GUF,South America,French Guiana,07/03/2023,98041,0,0,413,0,0,321901.841,0,0,1356.019,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,25.3,,2.897,,,,,,,,,79.95,,304568,,,,
GUY,South America,Guyana,07/03/2023,73075,0,1.286,1298,0,0,90358.057,0,1.59,1604.992,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.952,26.3,5.305,2.837,7435.047,,373.159,11.62,,,77.159,1.6,69.91,0.682,808727,,,,
PRY,South America,Paraguay,07/03/2023,735709,0,6.429,19878,0,1.143,108499.73,0,0.948,2931.536,0,0.169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.144,26.5,6.378,3.833,8827.01,1.7,199.128,8.27,5,21.6,79.602,1.3,74.25,0.728,6780745,,,,
PER,South America,Peru,06/03/2023,4486832,167,173.714,219493,8,12.429,131773.459,4.905,5.102,6446.275,0.235,0.365,,,,,,,,,,,,,,,,,,,88056939,30346069,28545505,29165365,11956,13437,258.61,89.12,83.84,85.66,395,1110,0.003,,25.129,29.1,7.151,4.455,12236.706,3.5,85.755,5.95,4.8,,,1.6,76.74,0.777,34049588,,,,
SUR,South America,Suriname,02/03/2023,82467,240,34.286,1404,4,0.571,133431.816,388.321,55.474,2271.676,6.472,0.925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.612,29.6,6.933,4.229,13767.119,,258.314,12.54,7.4,42.9,67.779,3.1,71.68,0.738,618046,,,,
URY,South America,Uruguay,07/03/2023,1034303,0,0,7617,0,0,302180.732,0,0,2225.374,0,0,,,,,,,,,,,,,,,,,,,8947064,3006641,2899148,3041275,900,18370,261.4,87.84,84.7,88.85,5367,9,0,,19.751,35.6,14.655,10.361,20551.409,0.1,160.708,6.93,14,19.9,,2.8,77.91,0.817,3422796,,,,
VEN,South America,Venezuela,07/03/2023,552125,74,20.857,5854,0,0.143,19508.545,2.615,0.737,206.843,0,0.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.253,29,6.614,3.915,16745.022,,204.85,6.47,,,,0.8,72.06,0.711,28301700,,,,
